snippet,headline__main,year_mo_day,sentiment_analysis,compound,negative,neutral,positive
"The site of the most decisive battle of the Civil War is fighting over a proposal to build a 3,000- slot machine parlor near its center.",Gettysburg Battles Over Gambling,20060404,-0.7956,-0.7956,0.295,0.635,0.07
"The union was expected, with both parties favoring the removal of additional Jewish settlements in the West Bank.","Labor to Align With Kadima in Israel, Party Leaders Say",20060404,0.6705,0.6705,0,0.744,0.256
"Thaksin Shinawatra, a business tycoon turned populist politician, said today he would step down as Thailand's prime minister.","In a Surprise, Embattled Leader of Thailand Says He'll Resign",20060404,0,0,0,1,0
The demonstration against a new labor law in Paris was marred by clashes between bottle-throwing gangs of youth and police officers.,Violence Mars Latest Protests Against French Labor Law,20060404,0.1027,0.1027,0,0.931,0.069
The case is the first to address the large-scale human rights violations committed during his decades in power.,Iraq Court Charges Hussein with Genocide of Kurds,20060404,-0.3182,-0.3182,0.158,0.744,0.098
"With the city's majority-black status in doubt, candidates for mayor are aligning themselves by race.",New Orleans Election Hinges on Race and Not Rebuilding,20060404,-0.3612,-0.3612,0.152,0.848,0
At least 27 people were killed by thunderstorms that generated tornadoes up to a half-mile wide and hailstones the size of softballs.,"A Barrage of Storms Batters 8 States, Leaving Death and Debris",20060404,-0.6705,-0.6705,0.184,0.816,0
"The jury found that Zacarias Moussaoui was responsible for some of the deaths on Sept. 11, 2001.",Jurors Permit Death Penalty for Moussaoui,20060404,0.3182,0.3182,0,0.874,0.126
"The only place that can begin to rival Napa Valley as a source for cabernet sauvignon is its neighbor to the west and north, Sonoma County.","Napa's Neighbor Makes Cabs, Too",20060405,0,0,0,1,0
The 375 million-year-old fish fossil exhibits changes that anticipate the emergence of land animals.\n,Scientists Call Fish Fossil the 'Missing Link',20060405,0,0,0,1,0
An aide to Prime Minister Ibrahim al-Jaafari called the visit an ill-timed and counterproductive intervention.,Iraqis Say Rice Trip Stiffened Premier's Resolve to Stay,20060405,0,0,0,1,0
Opponents of a controversial labor law said there would be more protests if the government did not act by April 17.,French Protesters Set Deadline,20060405,-0.4576,-0.4576,0.182,0.818,0
The buying mission is the largest China has assembled since reestablishing diplomatic relations with the United States in late 1979.,"China Sends Big Business Group to U.S., Paving Way for Hu",20060405,0.4215,0.4215,0,0.872,0.128
The secretary of state's remarks were greeted with caution by the panel's Republican chairman.,Rice Urges Congress on Deal With India,20060405,0.2732,0.2732,0,0.861,0.139
Russia's defense minister has proposed military reforms and other news from Russia and the post-Soviet nations.,Today's Russian Newspapers,20060405,0.128,0.128,0,0.909,0.091
The former leader dodged questions and again repeatedly questioned the legitimacy of the court.,Hussein Is Cross-Examined for First Time,20060405,-0.1027,-0.1027,0.097,0.903,0
"Combining ideas from across the political spectrum, the state would be the first to require its citizens to have insurance.",Massachusetts Sets Health Plan for Nearly All,20060405,0,0,0,1,0
Dyer County and neighboring Gibson County in Tennessee were among the hardest hit by tornadoes that struck eight states.,Years of Hard Work Lost in Gash of Ruin and Debris,20060405,-0.25,-0.25,0.1,0.9,0
Ismail Haniya faces not only diplomatic isolation and a bankrupt treasury but an intense rivalry with Fatah.,Palestinians' Hamas Leader Faces Many Problems,20060406,0.0462,0.0462,0.122,0.639,0.239
At least 160 people were arrested as a four-day pro-democracy strike began here today in the world's only Hindu kingdom.,Nepal Makes Mass Arrests of Pro-Democracy Protesters,20060406,-0.5574,-0.5574,0.213,0.787,0
"A State Department spokesman said the U.S. would sit out the first election but would ""likely"" run a year from now.",U.S. Won't Be Candidate for U.N. Rights Council,20060406,0,0,0,1,0
The prime minister of Britain warned that London and Dublin could find a new way to govern the province.,"Work it Out, Blair Warns Belfast's Rival Parties",20060406,-0.2732,-0.2732,0.11,0.89,0
A swan found dead in eastern Scotland is the first recorded case of the deadly strain of bird flu in a wild bird in Britain.,Britain Confirms Bird Flu in Scottish Swan,20060406,-0.7964,-0.7964,0.288,0.712,0
The former mayor testified at the trial that will determine whether Zacarias Moussaoui gets a death sentence or life in prison.,"At Moussaoui Trial, Giuliani Recalls Horror of 9/11",20060406,-0.7845,-0.7845,0.282,0.667,0.051
"The text gives new insights into the relationship between Jesus and the disciple who betrayed him, scholars said.","Gospel of Judas' Surfaces After 1,700 Years",20060406,-0.6124,-0.6124,0.19,0.81,0
"The European Union has reiterated its demand that Belarus free protesters, and other news from Russia and the post-Soviet nations.",Today's Russian Newspapers,20060406,0.2263,0.2263,0.143,0.717,0.139
"A car bomb ripped through a crowd of worshippers, killing at least 10 people.",Bomb Explodes Near Shiite Shrine in Iraq,20060406,-0.7783,-0.7783,0.413,0.489,0.098
Saddam Hussein admitted that he signed an order of execution for 148 men and boys with only a cursory glance at the evidence against them.,Hussein Admits He Ordered the Execution of 148,20060406,0.1027,0.1027,0,0.943,0.057
"Troy, N.Y., has one of the most perfectly preserved 19th-century downtowns in the United States.",Where the Finest Antiques Can't Be Bought,20060407,0.807,0.807,0,0.641,0.359
The decision increased pressure on the Palestinians' new cash-strapped government.,Europe Stops Payments to Hamas-Led Palestinians,20060407,-0.0258,-0.0258,0.179,0.65,0.171
The company was optimistic that the product could be in drugstores later this year after more talks with the F.D.A.,First Over-Counter Diet Drug Passes Hurdle,20060407,0.3182,0.3182,0,0.892,0.108
"Ukraine had some movement on a parliamentary stalemate, and other news from Russia and the post-Soviet nations.",Today's Russian Newspapers,20060407,0,0,0,1,0
"The mosque is the religious bastion of the Supreme Council for Islamic Revolution in Iraq, the country's most powerful Shiite party.",At Least 71 Die as Bombers Hit Mosque in Baghdad,20060407,0.8643,0.8643,0,0.651,0.349
"Threatening to throw hard-won ceasefire talks in danger, unidentified gunmen today shot and killed a pro-rebel Tamil nationalist leader.",Pro-Rebel Tamil Leader Is Gunned Down in Sri Lanka,20060407,-0.9062,-0.9062,0.43,0.57,0
"Flouting a ban on political demonstrations, hundreds took to the streets of the capital demanding a restoration of democracy.",Nepalis Attack Police and Invite Arrest,20060407,-0.6705,-0.6705,0.268,0.732,0
President Bush offered some of his most direct comments about where he contended United States operations in Iraq had gone wrong.,"Facing Tough Questions, Bush Defends War",20060407,-0.0772,-0.0772,0.124,0.763,0.112
The U.S. military casualty system has failed to competently guide families through the casualty process.,"In Notification of Military Deaths, More Pain",20060407,-0.8779,-0.8779,0.457,0.543,0
The complaints came after Representative Alan B. Mollohan of West Virginia funneled $250 million into five nonprofit organizations that he set up.,SPECIAL PROJECTS BY CONGRESSMAN DRAW COMPLAINTS,20060408,-0.3818,-0.3818,0.113,0.84,0.046
Thunderstorms unleashed a wave of tornadoes less than a week after 24 were killed by twisters that raked two of the state's northwestern counties.,11 More Killed in Tennessee as Tornadoes Strike Again,20060408,-0.6705,-0.6705,0.176,0.824,0
"An Israeli airstrike in the southern Gaza Strip killed six people and wounded about a dozen, Palestinian security officials and medical workers said.",Israeli Attack in Gaza Strip Kills 4 Militants and a Child,20060408,-0.4767,-0.4767,0.167,0.743,0.089
"The Department of Defense has identified 2,340 American service members who have died since the start of the Iraq war. It confirmed the deaths of the following Americans yesterday:.",Names of the Dead,20060408,-0.7906,-0.7906,0.214,0.743,0.043
Federal prosecutors in Washington State tried to remove elaborate customized dental jewelry bonded to the teeth of two accused drug dealers.,"Prosecutors Want Dental Jewelry, but Defendants Are Spared",20060408,-0.296,-0.296,0.099,0.901,0
"Hundreds marched through Shiite neighborhoods in Baghdad, wailing in grief for dozens of worshippers killed in Friday's attack.",Iraqis Mourn Victims of Mosque Bombing,20060408,-0.875,-0.875,0.406,0.526,0.068
"Efforts to change the Roman Catholic Archdiocese of Boston in the aftermath of a sex abuse crisis have been hampered by diminished resources, a report said.","Archdiocese Is Hamstrung in Reform, Report Says",20060408,-0.8519,-0.8519,0.274,0.726,0
"Dena Schlosser, 38, will be sent to a state mental hospital and held until she is no longer deemed a threat to herself or others.",Texas Mother Who Killed Baby Is Acquitted on Insanity Grounds,20060408,-0.6808,-0.6808,0.211,0.789,0
WEST.,National Briefing,20060408,0,0,0,1,0
"However, the U.S. and the European Union said that aid would flow to Palestinians through the United Nations and other independent organizations.",U.S. and Europe Halt Aid to Palestinian Government,20060408,0.4215,0.4215,0,0.882,0.118
"The march was one of several held around the nation today in cities including Miami, San Diego and New York.",Huge Rally in Dallas in Support of Immigrants,20060409,0,0,0,1,0
A program to replace air traffic control voice and data lines has caused at least three major failures recently.,Upgrade to Air Traffic System Runs Into Trouble,20060409,-0.4588,-0.4588,0.15,0.85,0
Italian voters will decide whether Silvio Berlusconi will keep his job as prime minister.,Italy Begins Voting on the Fate of Berlusconi,20060409,0,0,0,1,0
"The death toll in Nepal's pro-democracy protests climbed to three today, as demonstrators poured out onto the streets for the fourth day in a row.",Protests Against Nepal's King Grow More Violent,20060409,-0.7003,-0.7003,0.209,0.791,0
"A car occupied by the U.S. ambassador to Venezuela was pounded, kicked and pelted in Caracas, and police escorts did nothing to intervene.",U.S. Warns Caracas After Envoy Is Pelted,20060409,0,0,0,1,0
"The article says the Bush administration is accelerating planning for possible attacks against Iran, and has not ruled out tactical nuclear weapons.","U.S. Stepping Up Plans to Attack Iran, New Yorker Article Says",20060409,-0.7003,-0.7003,0.225,0.775,0
The five main rival leaders in Ivory Coast have agreed to a disarmament program and a census leading to elections by the end of October.,Political Rivals in Ivory Coast Reach a Deal,20060409,0.2732,0.2732,0,0.913,0.087
"Rescuers in Djibouti found 37 more bodies from an overloaded boat that sank in the Red Sea Thursday, bringing the death toll to 109.",Djibouti Toll Rises,20060409,-0.5994,-0.5994,0.145,0.855,0
The two deaths followed an escalation of bombings in Turkey and the worst civil unrest in the mainly Kurdish southeast for more than a decade.,Two in Turkish Security Forces Are Killed After Guerrilla Assault,20060409,-0.6249,-0.6249,0.151,0.849,0
